Date,total_pengeluaran,bulan,tanggal,hari,weekend_encoded,is_payday,pengeluaran_1sebelumnya,pengeluaran_3sebelumnya,pengeluaran_7sebelumnya,pengeluaran_14sebelumnya,rata-rata_3hari,rata-rata_7hari,rata-rata_30hari,std_seminggu,std_sebulan,ema_7
2014-01-01,51000.0,1,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0
2014-01-02,32000.0,1,2,3,0,1,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46250.0
2014-01-03,27000.0,1,3,4,0,1,32000.0,0.0,0.0,0.0,36666.666666666664,0.0,0.0,0.0,0.0,41437.5
2014-01-04,49000.0,1,4,5,1,1,27000.0,51000.0,0.0,0.0,36000.0,0.0,0.0,0.0,0.0,43328.125
2014-01-05,96000.0,1,5,6,1,1,49000.0,32000.0,0.0,0.0,57333.333333333336,0.0,0.0,0.0,0.0,56496.09375
2014-01-06,31000.0,1,6,0,0,0,96000.0,27000.0,0.0,0.0,58666.666666666664,0.0,0.0,0.0,0.0,50122.0703125
2014-01-07,45000.0,1,7,1,0,0,31000.0,49000.0,0.0,0.0,57333.333333333336,47285.71428571428,0.0,23471.36046131033,0.0,48841.552734375
2014-01-08,30000.0,1,8,2,0,0,45000.0,96000.0,51000.0,0.0,35333.333333333336,44285.71428571428,0.0,24246.74745001403,0.0,44131.16455078125
2014-01-09,31000.0,1,9,3,0,0,30000.0,31000.0,32000.0,0.0,35333.333333333336,44142.857142857145,0.0,24333.9856403109,0.0,40848.37341308594
2014-01-10,54000.0,1,10,4,0,0,31000.0,45000.0,27000.0,0.0,38333.333333333336,48000.0,0.0,23280.893453645633,0.0,44136.28005981445
2014-01-11,28000.0,1,11,5,1,0,54000.0,30000.0,49000.0,0.0,37666.666666666664,45000.0,0.0,24454.03852127497,0.0,40102.21004486084
2014-01-12,51000.0,1,12,6,1,0,28000.0,31000.0,96000.0,0.0,44333.333333333336,38571.42857142857,0.0,11058.287131636356,0.0,42826.65753364563
